Date,White,Black,White Rating,Black Rating,Average Rating,Tournament,Organizer,Round Number,Result (W-B),Moves Played,,total winstreaks,winstreaks,win?
2023-10-25,NakamuraHikaru,SvaneRasmus,2750,2637,2693,FIDE Grand Swiss 2023,Douglas IOM,1.2,½-½,47,,1,15,1
2023-10-25,NakamuraHikaru,SvaneRasmus,2750,2637,2693,FIDE Grand Swiss 2023,Douglas IOM,1.2,½-½,47,,,,1
2023-10-26,SadhwaniRaunak,NakamuraHikaru,2616,2750,2683,FIDE Grand Swiss 2023,Douglas IOM,2.17,½-½,25,,,,1
2023-10-26,SadhwaniRaunak,NakamuraHikaru,2616,2750,2683,FIDE Grand Swiss 2023,Douglas IOM,2.17,½-½,25,,,,1
2023-10-29,NakamuraHikaru,SaranaAlexey,2750,2685,2717,FIDE Grand Swiss 2023,Douglas IOM,5.2,1-0,70,,,,1
2023-10-29,NakamuraHikaru,SaranaAlexey,2750,2685,2717,FIDE Grand Swiss 2023,Douglas IOM,5.2,1-0,70,,,,1
2023-10-30,EsipenkoAndrey,NakamuraHikaru,2723,2750,2736,FIDE Grand Swiss 2023,Douglas IOM,6.1,½-½,27,,,,1
2023-10-30,EsipenkoAndrey,NakamuraHikaru,2723,2750,2736,FIDE Grand Swiss 2023,Douglas IOM,6.1,½-½,27,,,,1
2023-11-01,NakamuraHikaru,PredkeAlexandr,2750,2682,2716,FIDE Grand Swiss 2023,Douglas IOM,7.2,½-½,53,,,,1
2023-11-02,ViditSantosh Gujrathi,NakamuraHikaru,2723,2750,2736,FIDE Grand Swiss 2023,Douglas IOM,8.1,½-½,16,,,,1
2023-11-03,NakamuraHikaru,CheparinovIvan,2750,2672,2711,FIDE Grand Swiss 2023,Douglas IOM,9.3,1-0,61,,,,1
2023-11-04,NakamuraHikaru,CaruanaFabiano,2750,2781,2765,FIDE Grand Swiss 2023,Douglas IOM,10.1,1-0,40,,,,1
2023-11-05,ErigaisiArjun,NakamuraHikaru,2660,2750,2705,FIDE Grand Swiss 2023,Douglas IOM,11.1,½-½,39,,,,1
2023-11-05,ErigaisiArjun,NakamuraHikaru,2660,2750,2705,FIDE Grand Swiss 2023,Douglas IOM,11.1,½-½,39,,,,1